SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
0  160  2025-05-30 20-18-27  2182.4  2669.2  25232  0  1872  0  0
1  160  2025-05-30 20-18-27  2184  2661.22  25232  0  1872  0  0
2  160  2025-05-30 20-18-27  2185.6  2653.24  25232  0  1872  0  0
3  160  2025-05-30 20-18-27  2187.2  2645.26  25232  0  1872  0  0
4  160  2025-05-30 20-18-27  2188.8  2637.27  25232  0  1872  0  0
5  160  2025-05-30 20-18-27  2190.4  2629.27  25232  0  1872  0  0
6  160  2025-05-30 20-18-27  2192  2621.27  25232  0  1872  0  0
7  160  2025-05-30 20-18-27  2193.6  2613.27  25232  0  1872  0  0
8  160  2025-05-30 20-18-27  2195.2  2605.26  25232  0  1872  0  0
9  160  2025-05-30 20-18-27  2196.8  2597.24  25232  0  1872  0  0
10  160  2025-05-30 20-18-27  2198.4  2589.23  25232  0  1872  0  0
11  160  2025-05-30 20-18-27  2200  2581.2  25232  0  1872  0  0
12  160  2025-05-30 20-18-27  2201.6  2573.17  25232  0  1872  0  0
13  160  2025-05-30 20-18-27  2203.2  2565.13  25232  0  1872  0  0
14  160  2025-05-30 20-18-27  2204.8  2557.09  25232  0  1872  0  0
15  160  2025-05-30 20-18-27  2206.4  2549.05  25232  0  1872  0  0
16  160  2025-05-30 20-18-27  2208  2541  25232  0  1872  0  0
17  160  2025-05-30 20-18-27  2209.6  2532.94  25232  0  1872  0  0
18  160  2025-05-30 20-18-27  2211.2  2524.88  25232  0  1872  0  0
19  160  2025-05-30 20-18-27  2212.8  2516.82  25232  0  1872  0  0
20  160  2025-05-30 20-18-27  2214.4  2508.75  25232  0  1872  0  0
21  160  2025-05-30 20-18-27  2216  2500.67  25232  0  1872  0  0
22  160  2025-05-30 20-18-27  2217.6  2492.59  25232  0  1872  0  0
23  160  2025-05-30 20-18-27  2219.2  2484.51  25232  0  1872  0  0
24  160  2025-05-30 20-18-27  2220.8  2476.42  25232  0  1872  0  0
25  160  2025-05-30 20-18-27  2222.4  2468.32  25232  0  1872  0  0
26  160  2025-05-30 20-18-27  2224  2460.22  25232  0  1872  0  0
27  160  2025-05-30 20-18-27  2225.6  2452.12  25232  0  1872  0  0
28  160  2025-05-30 20-18-27  2227.2  2444  25232  0  1872  0  0
29  160  2025-05-30 20-18-27  2228.8  2435.89  25232  0  1872  0  0
30  160  2025-05-30 20-18-27  2230.4  2427.77  25232  0  1872  0  0
31  160  2025-05-30 20-18-27  2232  2419.64  25232  0  1872  0  0
32  160  2025-05-30 20-18-27  2233.6  2411.51  25232  0  1872  0  0
33  160  2025-05-30 20-18-27  2235.2  2403.38  25232  0  1872  0  0
34  160  2025-05-30 20-18-27  2236.8  2395.24  25232  0  1872  0  0
35  160  2025-05-30 20-18-27  2238.4  2387.09  25232  0  1872  0  0
36  160  2025-05-30 20-18-27  2240  2378.94  25232  0  1872  0  0
37  160  2025-05-30 20-18-27  2241.6  2370.79  25232  0  1872  0  0
38  160  2025-05-30 20-18-27  2243.2  2362.63  25232  0  1872  0  0
39  160  2025-05-30 20-18-27  2244.8  2354.46  25232  0  1872  0  0
40  160  2025-05-30 20-18-27  2246.4  2346.29  25232  0  1872  0  0
41  160  2025-05-30 20-18-27  2248  2338.12  25232  0  1872  0  0
42  160  2025-05-30 20-18-27  2249.6  2329.94  25232  0  1872  0  0
43  160  2025-05-30 20-18-27  2251.2  2321.76  25232  0  1872  0  0
44  160  2025-05-30 20-18-27  2252.8  2313.57  25232  0  1872  0  0
45  160  2025-05-30 20-18-27  2254.4  2305.37  25232  0  1872  0  0
46  160  2025-05-30 20-18-27  2256  2297.17  25232  0  1872  0  0
47  160  2025-05-30 20-18-27  2257.6  2288.97  25232  0  1872  0  0
48  160  2025-05-30 20-18-27  2259.2  2280.76  25232  0  1872  0  0
49  160  2025-05-30 20-18-27  2260.8  2272.55  25232  0  1872  0  0
50  160  2025-05-30 20-18-27  2262.4  2264.33  25232  0  1872  0  0
51  160  2025-05-30 20-18-27  2264  2256.11  25232  0  1872  0  0
52  160  2025-05-30 20-18-27  2265.6  2247.88  25232  0  1872  0  0
53  160  2025-05-30 20-18-27  2267.2  2239.65  25232  0  1872  0  0
54  160  2025-05-30 20-18-27  2268.8  2231.41  25232  0  1872  0  0
55  160  2025-05-30 20-18-27  2270.4  2223.16  25232  0  1872  0  0
56  160  2025-05-30 20-18-27  2272  2214.92  25232  0  1872  0  0
57  160  2025-05-30 20-18-27  2273.6  2206.66  25232  0  1872  0  0
58  160  2025-05-30 20-18-27  2275.2  2198.41  25232  0  1872  0  0
59  160  2025-05-30 20-18-27  2276.8  2190.15  25232  0  1872  0  0
60  160  2025-05-30 20-18-27  2278.4  2181.88  25232  0  1872  0  0
61  160  2025-05-30 20-18-27  2280  2173.61  25232  0  1872  0  0
62  160  2025-05-30 20-18-27  2281.6  2165.33  25232  0  1872  0  0
63  160  2025-05-30 20-18-27  2283.2  2157.05  25232  0  1872  0  0
64  160  2025-05-30 20-18-27  2284.8  2148.76  25232  0  1872  0  0
65  160  2025-05-30 20-18-27  2286.4  2140.47  25232  0  1872  0  0
66  160  2025-05-30 20-18-27  2288  2132.18  25232  0  1872  0  0
67  160  2025-05-30 20-18-27  2289.6  2123.88  25232  0  1872  0  0
68  160  2025-05-30 20-18-27  2291.2  2115.57  25232  0  1872  0  0
69  160  2025-05-30 20-18-27  2292.8  2107.26  25232  0  1872  0  0
70  160  2025-05-30 20-18-27  2294.4  2098.95  25232  0  1872  0  0
71  160  2025-05-30 20-18-27  2296  2090.63  25232  0  1872  0  0
72  160  2025-05-30 20-18-27  2297.6  2082.3  25232  0  1872  0  0
73  160  2025-05-30 20-18-27  2299.2  2073.97  25232  0  1872  0  0
74  160  2025-05-30 20-18-27  2300.8  2065.64  25232  0  1872  0  0
75  160  2025-05-30 20-18-27  2302.4  2057.3  25232  0  1872  0  0
76  160  2025-05-30 20-18-27  2304  2048.96  25232  0  1872  0  0
77  160  2025-05-30 20-18-27  2305.6  2040.61  25232  0  1872  0  0
78  160  2025-05-30 20-18-27  2307.2  2032.26  25232  0  1872  0  0
79  160  2025-05-30 20-18-27  2308.8  2023.9  25232  0  1872  0  0
80  160  2025-05-30 20-18-27  2310.4  2015.54  25232  0  1872  0  0
81  160  2025-05-30 20-18-27  2312  2007.17  25232  0  1872  0  0
82  160  2025-05-30 20-18-27  2313.6  1998.8  25232  0  1872  0  0
83  160  2025-05-30 20-18-27  2315.2  1990.42  25232  0  1872  0  0
84  160  2025-05-30 20-18-27  2316.8  1982.04  25232  0  1872  0  0
85  160  2025-05-30 20-18-27  2318.4  1973.66  25232  0  1872  0  0
86  160  2025-05-30 20-18-27  2320  1965.27  25232  0  1872  0  0
87  160  2025-05-30 20-18-27  2321.6  1956.87  25232  0  1872  0  0
88  160  2025-05-30 20-18-27  2323.2  1948.47  25232  0  1872  0  0
89  160  2025-05-30 20-18-27  2324.8  1940.07  25232  0  1872  0  0
90  160  2025-05-30 20-18-27  2326.4  1931.66  25232  0  1872  0  0
91  160  2025-05-30 20-18-27  2328  1923.25  25232  0  1872  0  0
92  160  2025-05-30 20-18-27  2329.6  1914.83  25232  0  1872  0  0
93  160  2025-05-30 20-18-27  2331.2  1906.41  25232  0  1872  0  0
94  160  2025-05-30 20-18-27  2332.8  1897.98  25232  0  1872  0  0
95  160  2025-05-30 20-18-27  2334.4  1889.55  25232  0  1872  0  0
96  160  2025-05-30 20-18-27  2336  1881.11  25232  0  1872  0  0
97  160  2025-05-30 20-18-27  2337.6  1872.67  25232  0  1872  0  0
98  160  2025-05-30 20-18-27  2339.2  1864.22  25232  0  1872  0  0
99  160  2025-05-30 20-18-27  2340.8  1855.77  25232  0  1872  0  0
100  160  2025-05-30 20-18-27  2342.4  1847.32  25232  0  1872  0  0
101  160  2025-05-30 20-18-27  2344  1838.86  25232  0  1872  0  0
102  160  2025-05-30 20-18-27  2345.6  1830.39  25232  0  1872  0  0
103  160  2025-05-30 20-18-27  2347.2  1821.92  25232  0  1872  0  0
104  160  2025-05-30 20-18-27  2348.8  1813.45  25232  0  1872  0  0
105  160  2025-05-30 20-18-27  2350.4  1804.97  25232  0  1872  0  0
106  160  2025-05-30 20-18-27  2352  1796.49  25232  0  1872  0  0
107  160  2025-05-30 20-18-27  2353.6  1788  25232  0  1872  0  0
108  160  2025-05-30 20-18-27  2355.2  1779.51  25232  0  1872  0  0
109  160  2025-05-30 20-18-27  2356.8  1771.01  25232  0  1872  0  0
110  160  2025-05-30 20-18-27  2358.4  1762.51  25232  0  1872  0  0
111  160  2025-05-30 20-18-27  2360  1754.01  25232  0  1872  0  0
112  160  2025-05-30 20-18-27  2361.6  1745.5  25232  0  1872  0  0
113  160  2025-05-30 20-18-27  2363.2  1736.98  25232  0  1872  0  0
114  160  2025-05-30 20-18-27  2364.8  1728.46  25232  0  1872  0  0
115  160  2025-05-30 20-18-27  2366.4  1719.94  25232  0  1872  0  0
116  160  2025-05-30 20-18-27  2368  1711.41  25232  0  1872  0  0
117  160  2025-05-30 20-18-27  2369.6  1702.88  25232  0  1872  0  0
118  160  2025-05-30 20-18-27  2371.2  1694.34  25232  0  1872  0  0
119  160  2025-05-30 20-18-27  2372.8  1685.8  25232  0  1872  0  0
120  160  2025-05-30 20-18-27  2374.4  1677.25  25232  0  1872  0  0
121  160  2025-05-30 20-18-27  2376  1668.7  25232  0  1872  0  0
122  160  2025-05-30 20-18-27  2377.6  1660.14  25232  0  1872  0  0
123  160  2025-05-30 20-18-27  2379.2  1651.58  25232  0  1872  0  0
124  160  2025-05-30 20-18-27  2380.8  1643.02  25232  0  1872  0  0
125  160  2025-05-30 20-18-27  2382.4  1634.45  25232  0  1872  0  0
126  160  2025-05-30 20-18-27  2384  1625.88  25232  0  1872  0  0
127  160  2025-05-30 20-18-27  2385.6  1617.3  25232  0  1872  0  0
128  160  2025-05-30 20-18-27  2387.2  1608.71  25232  0  1872  0  0
