SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  144  2025-06-08 18-22-26  0  2440  14512  192  2672
1  144  2025-06-08 18-22-26  1.6  2448.01  14511.9  192.086  2688
2  144  2025-06-08 18-22-26  3.2  2456.02  14511.6  192.173  2704
3  144  2025-06-08 18-22-26  4.8  2464.03  14511.2  192.259  2720
4  144  2025-06-08 18-22-26  6.4  2472.05  14510.6  192.345  2736
5  144  2025-06-08 18-22-26  8  2480.06  14509.9  192.432  2752
6  144  2025-06-08 18-22-26  9.6  2488.07  14509.1  192.518  2768
7  144  2025-06-08 18-22-26  11.2  2496.07  14508.1  192.604  2784
8  144  2025-06-08 18-22-26  12.8  2504.06  14507  192.691  2800
9  144  2025-06-08 18-22-26  14.4  2512.04  14505.7  192.777  2816
10  144  2025-06-08 18-22-26  128  2520  14504.3  192.863  14032
11  144  2025-06-08 18-22-26  129.6  2527.95  14502.7  192.95  14048
12  144  2025-06-08 18-22-26  131.2  2535.88  14501.1  193.036  14064
13  144  2025-06-08 18-22-26  132.8  2543.78  14499.2  193.122  14079.6
14  144  2025-06-08 18-22-26  134.4  2551.66  14497.3  193.209  14094.3
15  144  2025-06-08 18-22-26  136  2559.53  14495.2  193.295  14108
16  144  2025-06-08 18-22-26  137.6  2567.37  14493  193.381  14120.9
17  144  2025-06-08 18-22-26  139.2  2575.18  14490.7  193.468  14132.9
18  144  2025-06-08 18-22-26  140.8  2582.98  14488.4  193.554  14144.1
19  144  2025-06-08 18-22-26  142.4  2590.76  14485.9  193.64  14154.6
20  144  2025-06-08 18-22-26  144  2598.52  14483.3  193.727  14164.4
21  144  2025-06-08 18-22-26  145.6  2606.27  14480.7  193.813  14173.5
22  144  2025-06-08 18-22-26  147.2  2613.99  14478  193.899  14181.9
23  144  2025-06-08 18-22-26  148.8  2621.7  14475.2  193.986  14189.8
24  144  2025-06-08 18-22-26  150.4  2629.4  14472.3  194.072  14197
25  144  2025-06-08 18-22-26  152  2637.08  14469.4  194.158  14203.7
26  144  2025-06-08 18-22-26  153.6  2644.76  14466.5  194.245  14210
27  144  2025-06-08 18-22-26  155.2  2652.42  14463.4  194.331  14215.7
28  144  2025-06-08 18-22-26  156.8  2660.07  14460.4  194.417  14221.1
29  144  2025-06-08 18-22-26  158.4  2667.71  14457.3  194.504  14226
30  144  2025-06-08 18-22-26  160  2675.35  14454.1  194.59  14230.6
31  144  2025-06-08 18-22-26  161.6  2682.97  14450.9  194.676  14234.9
32  144  2025-06-08 18-22-26  163.2  2690.6  14447.7  194.763  14238.8
33  144  2025-06-08 18-22-26  164.8  2698.21  14444.4  194.849  14242.4
34  144  2025-06-08 18-22-26  166.4  2705.83  14441.2  194.935  14245.8
35  144  2025-06-08 18-22-26  168  2713.44  14437.8  195.022  14248.9
36  144  2025-06-08 18-22-26  169.6  2721.05  14434.5  195.108  14251.7
37  144  2025-06-08 18-22-26  171.2  2728.65  14431.1  195.194  14254.3
38  144  2025-06-08 18-22-26  172.8  2736.26  14427.7  195.281  14256.7
39  144  2025-06-08 18-22-26  174.4  2743.86  14424.3  195.367  14258.9
40  144  2025-06-08 18-22-26  176  2751.47  14420.9  195.453  14260.9
41  144  2025-06-08 18-22-26  177.6  2759.08  14417.4  195.54  14262.8
42  144  2025-06-08 18-22-26  179.2  2766.68  14414  195.626  14264.4
43  144  2025-06-08 18-22-26  180.8  2774.29  14410.5  195.712  14266
44  144  2025-06-08 18-22-26  182.4  2781.91  14407  195.799  14267.3
45  144  2025-06-08 18-22-26  184  2789.52  14403.5  195.885  14268.6
46  144  2025-06-08 18-22-26  185.6  2797.14  14399.9  195.971  14269.6
47  144  2025-06-08 18-22-26  187.2  2804.76  14396.4  196.058  14270.6
48  144  2025-06-08 18-22-26  188.8  2812.39  14392.8  196.144  14271.5
49  144  2025-06-08 18-22-26  190.4  2820.03  14389.3  196.23  14272.2
50  144  2025-06-08 18-22-26  192  2827.66  14385.7  196.317  14272.9
51  144  2025-06-08 18-22-26  193.6  14035.3  14382.1  196.403  14273.5
52  144  2025-06-08 18-22-26  195.2  14043  14378.5  196.489  14273.9
53  144  2025-06-08 18-22-26  196.8  14050.6  14374.9  196.576  14274.3
54  144  2025-06-08 18-22-26  198.4  14058.3  14371.3  196.662  14274.7
55  144  2025-06-08 18-22-26  200  14065.9  14367.7  196.748  14274.9
56  144  2025-06-08 18-22-26  201.6  14073.6  14364.1  196.835  14275.1
57  144  2025-06-08 18-22-26  203.2  14081.3  14360.5  196.921  14275.2
58  144  2025-06-08 18-22-26  204.8  14089  14356.9  197.007  14275.2
59  144  2025-06-08 18-22-26  206.4  14096.7  14353.3  197.094  14275.2
60  144  2025-06-08 18-22-26  208  14104.4  14349.6  197.18  14275.2
61  144  2025-06-08 18-22-26  209.6  14112.1  14346  197.266  14275.1
62  144  2025-06-08 18-22-26  211.2  14119.8  14342.4  197.353  14274.9
63  144  2025-06-08 18-22-26  212.8  14127.6  14338.7  197.439  14274.8
64  144  2025-06-08 18-22-26  214.4  14135.3  14335.1  197.525  14274.5
65  144  2025-06-08 18-22-26  216  14143.1  14331.5  197.612  14274.3
66  144  2025-06-08 18-22-26  217.6  14150.8  14327.8  197.698  14274
67  144  2025-06-08 18-22-26  219.2  14158.6  14324.2  197.784  14273.7
68  144  2025-06-08 18-22-26  220.8  14166.4  14320.5  197.871  14273.3
69  144  2025-06-08 18-22-26  222.4  14174.2  14316.9  197.957  14272.9
70  144  2025-06-08 18-22-26  224  14182  14313.3  198.043  14272.5
71  144  2025-06-08 18-22-26  225.6  14189.8  14309.6  198.13  14272.1
72  144  2025-06-08 18-22-26  227.2  14197.6  14306  198.216  14271.6
73  144  2025-06-08 18-22-26  228.8  14205.4  14302.3  198.302  14271.1
74  144  2025-06-08 18-22-26  230.4  14213.2  14298.7  198.389  14270.7
75  144  2025-06-08 18-22-26  232  14221.1  14295.1  198.475  14270.1
76  144  2025-06-08 18-22-26  233.6  14228.9  14291.4  198.561  14269.6
77  144  2025-06-08 18-22-26  235.2  14236.8  14287.8  198.648  14269.1
78  144  2025-06-08 18-22-26  236.8  14244.7  14284.2  198.734  14268.5
79  144  2025-06-08 18-22-26  238.4  14252.6  14280.5  198.82  14268
80  144  2025-06-08 18-22-26  240  14260.5  14276.9  198.907  14267.4
81  144  2025-06-08 18-22-26  241.6  14268.4  14273.3  198.993  14266.8
82  144  2025-06-08 18-22-26  243.2  14276.3  14269.6  199.079  14266.2
83  144  2025-06-08 18-22-26  244.8  14284.2  14266  199.166  14265.6
84  144  2025-06-08 18-22-26  246.4  14292.1  14262.4  199.252  14265
85  144  2025-06-08 18-22-26  248  14300.1  14258.7  199.338  14264.4
86  144  2025-06-08 18-22-26  249.6  14308  14255.1  199.425  14263.7
87  144  2025-06-08 18-22-26  251.2  14316  14251.5  199.511  14263.1
88  144  2025-06-08 18-22-26  252.8  14324  14247.9  199.597  14262.5
89  144  2025-06-08 18-22-26  254.4  14332  14244.3  199.684  14261.8
90  144  2025-06-08 18-22-26  256  14340  14240.6  199.77  14261.2
91  144  2025-06-08 18-22-26  257.6  14348  14237  199.856  14260.6
92  144  2025-06-08 18-22-26  259.2  14356  14233.4  199.943  14259.9
