SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
0  176  2025-06-05 20-36-18  2587.2  2671.25  25232  0  1872  0  0
1  176  2025-06-05 20-36-18  2588.8  2669.71  25232  0  1872  0  0
2  176  2025-06-05 20-36-18  2590.4  2668.24  25232  0  1872  0  0
3  176  2025-06-05 20-36-18  2592  2666.85  25232  0  1872  0  0
4  176  2025-06-05 20-36-18  2593.6  2665.52  25232  0  1872  0  0
5  176  2025-06-05 20-36-18  2595.2  2664.27  25232  0  1872  0  0
6  176  2025-06-05 20-36-18  2596.8  2663.09  25232  0  1872  0  0
7  176  2025-06-05 20-36-18  2598.4  2661.98  25232  0  1872  0  0
8  176  2025-06-05 20-36-18  2600  2660.94  25232  0  1872  0  0
9  176  2025-06-05 20-36-18  2601.6  2659.98  25232  0  1872  0  0
10  176  2025-06-05 20-36-18  2603.2  2659.09  25232  0  1872  0  0
11  176  2025-06-05 20-36-18  2604.8  2658.27  25232  0  1872  0  0
12  176  2025-06-05 20-36-18  2606.4  2657.53  25232  0  1872  0  0
13  176  2025-06-05 20-36-18  2608  2656.86  25232  0  1872  0  0
14  176  2025-06-05 20-36-18  2609.6  2656.26  25232  0  1872  0  0
15  176  2025-06-05 20-36-18  2611.2  2655.74  25232  0  1872  0  0
16  176  2025-06-05 20-36-18  2612.8  2655.29  25232  0  1872  0  0
17  176  2025-06-05 20-36-18  2614.4  2654.92  25232  0  1872  0  0
18  176  2025-06-05 20-36-18  2616  2654.61  25232  0  1872  0  0
19  176  2025-06-05 20-36-18  2617.6  2654.39  25232  0  1872  0  0
20  176  2025-06-05 20-36-18  2619.2  2654.24  25232  0  1872  0  0
21  176  2025-06-05 20-36-18  2620.8  2654.16  25232  0  1872  0  0
22  176  2025-06-05 20-36-18  2622.4  2654.15  25232  0  1872  0  0
23  176  2025-06-05 20-36-18  2624  2654.22  25232  0  1872  0  0
24  176  2025-06-05 20-36-18  2625.6  2654.37  25232  0  1872  0  0
25  176  2025-06-05 20-36-18  2627.2  2654.59  25232  0  1872  0  0
26  176  2025-06-05 20-36-18  2628.8  2654.89  25232  0  1872  0  0
27  176  2025-06-05 20-36-18  2630.4  2655.25  25232  0  1872  0  0
28  176  2025-06-05 20-36-18  2632  2655.7  25232  0  1872  0  0
29  176  2025-06-05 20-36-18  2633.6  2656.22  25232  0  1872  0  0
30  176  2025-06-05 20-36-18  2635.2  2656.81  25232  0  1872  0  0
31  176  2025-06-05 20-36-18  2636.8  2657.48  25232  0  1872  0  0
32  176  2025-06-05 20-36-18  2638.4  2658.22  25232  0  1872  0  0
33  176  2025-06-05 20-36-18  2640  2659.04  25232  0  1872  0  0
34  176  2025-06-05 20-36-18  2641.6  2659.93  25232  0  1872  0  0
