SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  192  2025-06-11 22-02-18  0  16040  -14512  192  2672
1  192  2025-06-11 22-02-18  1.6  16048  -14511.9  192.086  2656.28
2  192  2025-06-11 22-02-18  3.2  16056  -14511.6  192.173  2641.3
3  192  2025-06-11 22-02-18  4.8  16064  -14511.2  192.259  2627.02
4  192  2025-06-11 22-02-18  6.4  16072.1  -14510.7  192.345  2613.43
5  192  2025-06-11 22-02-18  8  16080.1  -14510.1  192.432  2600.48
6  192  2025-06-11 22-02-18  9.6  16088.1  -14509.3  192.518  2588.15
7  192  2025-06-11 22-02-18  11.2  16096.1  -14508.5  192.604  2576.41
8  192  2025-06-11 22-02-18  12.8  16104.1  -14507.5  192.691  2565.24
9  192  2025-06-11 22-02-18  14.4  16112.1  -14506.5  192.777  2554.61
10  192  2025-06-11 22-02-18  128  16120.1  -14505.4  192.863  2544.5
11  192  2025-06-11 22-02-18  129.6  16128.1  -14504.2  192.95  2534.89
12  192  2025-06-11 22-02-18  131.2  16136.1  -14502.9  193.036  2525.74
13  192  2025-06-11 22-02-18  132.8  16144.1  -14501.5  193.122  2517.05
14  192  2025-06-11 22-02-18  134.4  16152.1  -14500.1  193.209  2508.79
15  192  2025-06-11 22-02-18  136  16160.1  -14498.6  193.295  2500.94
16  192  2025-06-11 22-02-18  137.6  16168.1  -14497  193.381  2493.49
17  192  2025-06-11 22-02-18  139.2  16176.1  -14495.4  193.468  2486.41
18  192  2025-06-11 22-02-18  140.8  16184.1  -14493.7  193.554  2479.69
19  192  2025-06-11 22-02-18  142.4  16192  -14491.9  193.64  2473.32
20  192  2025-06-11 22-02-18  144  16200  -14490.1  193.727  2467.28
21  192  2025-06-11 22-02-18  145.6  16208  -14488.3  193.813  2461.55
22  192  2025-06-11 22-02-18  147.2  16215.9  -14486.3  193.899  2456.12
23  192  2025-06-11 22-02-18  148.8  16223.9  -14484.4  193.986  2450.98
24  192  2025-06-11 22-02-18  150.4  16231.9  -14482.4  194.072  2446.11
25  192  2025-06-11 22-02-18  152  16239.8  -14480.3  194.158  2441.51
26  192  2025-06-11 22-02-18  153.6  16247.8  -14478.3  194.245  2437.15
27  192  2025-06-11 22-02-18  155.2  16255.7  -14476.1  194.331  2433.03
28  192  2025-06-11 22-02-18  156.8  16263.7  -14474  194.417  2429.15
29  192  2025-06-11 22-02-18  158.4  16271.6  -14471.8  194.504  2425.47
30  192  2025-06-11 22-02-18  160  16279.6  -14469.6  194.59  2422.01
31  192  2025-06-11 22-02-18  161.6  16287.5  -14467.3  194.676  2418.75
32  192  2025-06-11 22-02-18  163.2  16295.5  -14465  194.763  2415.67
33  192  2025-06-11 22-02-18  164.8  16303.5  -14462.7  194.849  2412.78
34  192  2025-06-11 22-02-18  166.4  16311.4  -14460.4  194.935  2410.05
35  192  2025-06-11 22-02-18  168  16319.4  -14458  195.022  2407.5
36  192  2025-06-11 22-02-18  169.6  16327.3  -14455.6  195.108  2405.1
37  192  2025-06-11 22-02-18  171.2  16335.3  -14453.2  195.194  2402.85
38  192  2025-06-11 22-02-18  172.8  16343.3  -14450.8  195.281  2400.74
39  192  2025-06-11 22-02-18  174.4  16351.2  -14448.3  195.367  2398.77
40  192  2025-06-11 22-02-18  176  16359.2  -14445.9  195.453  2396.93
41  192  2025-06-11 22-02-18  177.6  16367.2  -14443.4  195.54  2395.22
42  192  2025-06-11 22-02-18  179.2  16375.2  -14440.9  195.626  2393.62
43  192  2025-06-11 22-02-18  180.8  16383.1  -14438.4  195.712  2392.14
44  192  2025-06-11 22-02-18  182.4  16391.1  -14435.8  195.799  2390.76
45  192  2025-06-11 22-02-18  184  16399.1  -14433.3  195.885  2389.49
46  192  2025-06-11 22-02-18  185.6  16407.1  -14430.7  195.971  2388.31
47  192  2025-06-11 22-02-18  187.2  16415.1  -14428.2  196.058  2387.23
48  192  2025-06-11 22-02-18  188.8  16423.1  -14425.6  196.144  2386.23
49  192  2025-06-11 22-02-18  190.4  16431.2  -14423  196.23  2385.32
50  192  2025-06-11 22-02-18  192  16439.2  -14420.4  196.317  2384.5
51  192  2025-06-11 22-02-18  193.6  16447.2  -14417.8  196.403  2383.74
52  192  2025-06-11 22-02-18  195.2  16455.2  -14415.2  196.489  2383.06
53  192  2025-06-11 22-02-18  196.8  16463.3  -14412.5  196.576  2382.46
54  192  2025-06-11 22-02-18  198.4  16471.3  -14409.9  196.662  2381.91
55  192  2025-06-11 22-02-18  200  16479.4  -14407.3  196.748  2381.43
56  192  2025-06-11 22-02-18  201.6  16487.4  -14404.6  196.835  2381.01
57  192  2025-06-11 22-02-18  203.2  16495.5  -14402  196.921  2380.65
58  192  2025-06-11 22-02-18  204.8  16503.6  -14399.3  197.007  2380.34
59  192  2025-06-11 22-02-18  206.4  16511.7  -14396.6  197.094  2380.08
60  192  2025-06-11 22-02-18  208  16519.7  -14394  197.18  2379.87
61  192  2025-06-11 22-02-18  209.6  16527.8  -14391.3  197.266  2379.71
62  192  2025-06-11 22-02-18  211.2  16535.9  -14388.6  197.353  2379.59
63  192  2025-06-11 22-02-18  212.8  16544.1  -14385.9  197.439  2379.52
64  192  2025-06-11 22-02-18  214.4  16552.2  -14383.3  197.525  2379.48
65  192  2025-06-11 22-02-18  216  16560.3  -14380.6  197.612  2379.48
66  192  2025-06-11 22-02-18  217.6  16568.4  -14377.9  197.698  2379.52
67  192  2025-06-11 22-02-18  219.2  16576.6  -14375.2  197.784  2379.59
68  192  2025-06-11 22-02-18  220.8  16584.7  -14372.5  197.871  2379.69
69  192  2025-06-11 22-02-18  222.4  16592.9  -14369.8  197.957  2379.83
70  192  2025-06-11 22-02-18  224  16601.1  -14367.1  198.043  2379.99
71  192  2025-06-11 22-02-18  225.6  16609.3  -14364.4  198.13  2380.18
72  192  2025-06-11 22-02-18  227.2  16617.4  -14361.7  198.216  2380.4
73  192  2025-06-11 22-02-18  228.8  16625.6  -14359  198.302  2380.64
74  192  2025-06-11 22-02-18  230.4  16633.9  -14356.3  198.389  2380.9
75  192  2025-06-11 22-02-18  232  16642.1  -14353.6  198.475  2381.18
76  192  2025-06-11 22-02-18  233.6  16650.3  -14350.9  198.561  2381.49
77  192  2025-06-11 22-02-18  235.2  16658.5  -14348.2  198.648  2381.81
78  192  2025-06-11 22-02-18  236.8  16666.8  -14345.5  198.734  2382.16
79  192  2025-06-11 22-02-18  238.4  16675  -14342.8  198.82  2382.52
80  192  2025-06-11 22-02-18  240  16683.3  -14340.1  198.907  2382.89
81  192  2025-06-11 22-02-18  241.6  16691.6  -14337.5  198.993  2383.29
82  192  2025-06-11 22-02-18  243.2  16699.8  -14334.8  199.079  2383.69
83  192  2025-06-11 22-02-18  244.8  16708.1  -14332.1  199.166  2384.11
84  192  2025-06-11 22-02-18  246.4  16716.4  -14329.4  199.252  2384.54
85  192  2025-06-11 22-02-18  248  16724.7  -14326.7  199.338  2384.99
86  192  2025-06-11 22-02-18  249.6  16733.1  -14324  199.425  2385.44
87  192  2025-06-11 22-02-18  251.2  16741.4  -14321.3  199.511  2385.91
88  192  2025-06-11 22-02-18  252.8  16749.7  -14318.6  199.597  2386.38
89  192  2025-06-11 22-02-18  254.4  16758.1  -14315.9  199.684  2386.86
90  192  2025-06-11 22-02-18  256  16766.4  -14313.3  199.77  2387.36
