SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  176  2025-06-14 00-31-42  0  16040  14512  192  2672
1  176  2025-06-14 00-31-42  1.6  16048.3  14511.9  194.878  2681.69
2  176  2025-06-14 00-31-42  3.2  16056.9  14511.7  197.704  2691.28
3  176  2025-06-14 00-31-42  4.8  16065.7  14511.5  200.479  2700.76
4  176  2025-06-14 00-31-42  6.4  16074.8  14511.1  203.204  2710.13
5  176  2025-06-14 00-31-42  8  16084.2  14510.6  205.881  2719.4
6  176  2025-06-14 00-31-42  9.6  16093.8  14510  208.509  2728.57
7  176  2025-06-14 00-31-42  11.2  16103.7  14509.3  211.09  2737.63
