SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  144  2025-06-10 21-00-52  0  2440  14512  192  2672
1  144  2025-06-10 21-00-52  1.6  2447.99  14511.9  191.914  2688
2  144  2025-06-10 21-00-52  3.2  2455.97  14511.6  191.827  2704
3  144  2025-06-10 21-00-52  4.8  2463.93  14511.2  191.741  2720
4  144  2025-06-10 21-00-52  6.4  2471.88  14510.6  191.655  2736
5  144  2025-06-10 21-00-52  8  2479.8  14509.9  191.568  2752
6  144  2025-06-10 21-00-52  9.6  2487.71  14509.1  191.482  2768
7  144  2025-06-10 21-00-52  11.2  2495.59  14508.1  191.396  2784
8  144  2025-06-10 21-00-52  12.8  2503.44  14507  191.309  2800
9  144  2025-06-10 21-00-52  14.4  2511.27  14505.8  191.223  2816
10  144  2025-06-10 21-00-52  128  2519.06  14504.4  191.137  14032
11  144  2025-06-10 21-00-52  129.6  2526.82  14502.9  191.05  14048
12  144  2025-06-10 21-00-52  131.2  2534.54  14501.2  190.964  14064
13  144  2025-06-10 21-00-52  132.8  2542.23  14499.5  190.878  14080
14  144  2025-06-10 21-00-52  134.4  2549.88  14497.6  190.791  14096
15  144  2025-06-10 21-00-52  136  2557.48  14495.5  190.705  14112
16  144  2025-06-10 21-00-52  137.6  2565.03  14493.4  190.619  14128
17  144  2025-06-10 21-00-52  139.2  2572.54  14491.1  190.532  14144
18  144  2025-06-10 21-00-52  140.8  2580.01  14488.6  190.446  14160
19  144  2025-06-10 21-00-52  142.4  2587.41  14486.1  190.36  14176
20  144  2025-06-10 21-00-52  144  2594.77  14483.4  190.273  14192
21  144  2025-06-10 21-00-52  145.6  2602.07  14480.6  190.187  14206.5
22  144  2025-06-10 21-00-52  147.2  2609.33  14477.7  190.101  14218
23  144  2025-06-10 21-00-52  148.8  2616.56  14474.8  190.014  14227.2
24  144  2025-06-10 21-00-52  150.4  2623.75  14471.8  189.928  14234.4
25  144  2025-06-10 21-00-52  152  2630.91  14468.8  189.842  14240.2
26  144  2025-06-10 21-00-52  153.6  2638.06  14465.7  189.755  14244.7
27  144  2025-06-10 21-00-52  155.2  2645.18  14462.6  189.669  14248.3
28  144  2025-06-10 21-00-52  156.8  2652.28  14459.5  189.583  14251.1
29  144  2025-06-10 21-00-52  158.4  2659.37  14456.3  189.496  14253.2
30  144  2025-06-10 21-00-52  160  2666.45  14453.2  189.41  14254.9
31  144  2025-06-10 21-00-52  161.6  2673.51  14450  189.324  14256.1
32  144  2025-06-10 21-00-52  163.2  2680.56  14446.9  189.237  14257
33  144  2025-06-10 21-00-52  164.8  2687.61  14443.7  189.151  14257.6
34  144  2025-06-10 21-00-52  166.4  2694.64  14440.6  189.065  14258
35  144  2025-06-10 21-00-52  168  2701.66  14437.5  188.978  14258.2
36  144  2025-06-10 21-00-52  169.6  2708.68  14434.3  188.892  14258.3
37  144  2025-06-10 21-00-52  171.2  2715.69  14431.2  188.806  14258.3
38  144  2025-06-10 21-00-52  172.8  2722.69  14428  188.719  14258.2
39  144  2025-06-10 21-00-52  174.4  2729.68  14424.9  188.633  14258
40  144  2025-06-10 21-00-52  176  2736.67  14421.8  188.547  14257.7
41  144  2025-06-10 21-00-52  177.6  2743.65  14418.6  188.46  14257.4
42  144  2025-06-10 21-00-52  179.2  2750.62  14415.5  188.374  14257.1
43  144  2025-06-10 21-00-52  180.8  2757.59  14412.4  188.288  14256.7
44  144  2025-06-10 21-00-52  182.4  2764.55  14409.3  188.201  14256.3
45  144  2025-06-10 21-00-52  184  2771.51  14406.2  188.115  14255.9
46  144  2025-06-10 21-00-52  185.6  2778.45  14403.1  188.029  14255.5
47  144  2025-06-10 21-00-52  187.2  2785.39  14400.1  187.942  14255
48  144  2025-06-10 21-00-52  188.8  2792.33  14397  187.856  14254.6
49  144  2025-06-10 21-00-52  190.4  2799.26  14393.9  187.77  14254.1
