SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
81  208  2025-06-05 20-36-20  14134.4  2302.94  25232  0  1872  0  0
82  208  2025-06-05 20-36-20  14136  2306.52  25232  0  1872  0  0
83  208  2025-06-05 20-36-20  14137.6  2310.3  25232  0  1872  0  0
84  208  2025-06-05 20-36-20  14139.2  2314.28  25232  0  1872  0  0
85  208  2025-06-05 20-36-20  14140.8  2318.45  25232  0  1872  0  0
86  208  2025-06-05 20-36-20  14142.4  2322.82  25232  0  1872  0  0
87  208  2025-06-05 20-36-20  14144  2327.37  25232  0  1872  0  0
88  208  2025-06-05 20-36-20  14145.6  2332.11  25232  0  1872  0  0
89  208  2025-06-05 20-36-20  14147.2  2337.04  25232  0  1872  0  0
90  208  2025-06-05 20-36-20  14148.8  2342.15  25232  0  1872  0  0
91  208  2025-06-05 20-36-20  14150.4  2347.44  25232  0  1872  0  0
92  208  2025-06-05 20-36-20  14152  2352.9  25232  0  1872  0  0
93  208  2025-06-05 20-36-20  14153.6  2358.54  25232  0  1872  0  0
94  208  2025-06-05 20-36-20  14155.2  2364.36  25232  0  1872  0  0
95  208  2025-06-05 20-36-20  14156.8  2370.34  25232  0  1872  0  0
96  208  2025-06-05 20-36-20  14158.4  2376.49  25232  0  1872  0  0
97  208  2025-06-05 20-36-20  14160  2382.8  25232  0  1872  0  0
98  208  2025-06-05 20-36-20  14161.6  2389.27  25232  0  1872  0  0
99  208  2025-06-05 20-36-20  14163.2  2395.9  25232  0  1872  0  0
100  208  2025-06-05 20-36-20  14164.8  2402.69  25232  0  1872  0  0
101  208  2025-06-05 20-36-20  14166.4  2409.62  25232  0  1872  0  0
102  208  2025-06-05 20-36-20  14168  2416.71  25232  0  1872  0  0
103  208  2025-06-05 20-36-20  14169.6  2423.95  25232  0  1872  0  0
104  208  2025-06-05 20-36-20  14171.2  2431.33  25232  0  1872  0  0
105  208  2025-06-05 20-36-20  14172.8  2438.85  25232  0  1872  0  0
106  208  2025-06-05 20-36-20  14174.4  2446.51  25232  0  1872  0  0
107  208  2025-06-05 20-36-20  14176  2454.3  25232  0  1872  0  0
108  208  2025-06-05 20-36-20  14177.6  2462.23  25232  0  1872  0  0
109  208  2025-06-05 20-36-20  14179.2  2470.29  25232  0  1872  0  0
110  208  2025-06-05 20-36-20  14180.8  2478.48  25232  0  1872  0  0
111  208  2025-06-05 20-36-20  14182.4  2486.79  25232  0  1872  0  0
112  208  2025-06-05 20-36-20  14184  2495.23  25232  0  1872  0  0
113  208  2025-06-05 20-36-20  14185.6  2503.79  25232  0  1872  0  0
114  208  2025-06-05 20-36-20  14187.2  2512.46  25232  0  1872  0  0
115  208  2025-06-05 20-36-20  14188.8  2521.25  25232  0  1872  0  0
116  208  2025-06-05 20-36-20  14190.4  2530.16  25232  0  1872  0  0
117  208  2025-06-05 20-36-20  14192  2539.17  25232  0  1872  0  0
118  208  2025-06-05 20-36-20  14193.6  2548.3  25232  0  1872  0  0
119  208  2025-06-05 20-36-20  14195.2  2557.52  25232  0  1872  0  0
120  208  2025-06-05 20-36-20  14196.8  2566.86  25232  0  1872  0  0
121  208  2025-06-05 20-36-20  14198.4  2576.29  25232  0  1872  0  0
122  208  2025-06-05 20-36-20  14200  2585.82  25232  0  1872  0  0
123  208  2025-06-05 20-36-20  14201.6  2595.46  25232  0  1872  0  0
124  208  2025-06-05 20-36-20  14203.2  2605.18  25232  0  1872  0  0
125  208  2025-06-05 20-36-20  14204.8  2615  25232  0  1872  0  0
126  208  2025-06-05 20-36-20  14206.4  2624.91  25232  0  1872  0  0
127  208  2025-06-05 20-36-20  14208  2634.91  25232  0  1872  0  0
128  208  2025-06-05 20-36-20  14209.6  2644.99  25232  0  1872  0  0
129  208  2025-06-05 20-36-20  14211.2  2655.17  25232  0  1872  0  0
130  208  2025-06-05 20-36-20  14212.8  2665.42  25232  0  1872  0  0
131  208  2025-06-05 20-36-20  14324.8  2663.96  140432  0  1872  0  0
132  208  2025-06-05 20-36-20  14326.4  2651.98  140432  0  1872  0  0
133  208  2025-06-05 20-36-20  14328  2640.04  140432  0  1872  0  0
134  208  2025-06-05 20-36-20  14329.6  2628.17  140432  0  1872  0  0
135  208  2025-06-05 20-36-20  14331.2  2616.35  140432  0  1872  0  0
136  208  2025-06-05 20-36-20  14332.8  2604.6  140432  0  1872  0  0
137  208  2025-06-05 20-36-20  14334.4  2592.91  140432  0  1872  0  0
138  208  2025-06-05 20-36-20  14336  2581.27  140432  0  1872  0  0
139  208  2025-06-05 20-36-20  14337.6  2569.71  140432  0  1872  0  0
140  208  2025-06-05 20-36-20  14339.2  2558.21  140432  0  1872  0  0
141  208  2025-06-05 20-36-20  14340.8  2546.78  140432  0  1872  0  0
142  208  2025-06-05 20-36-20  14342.4  2535.41  140432  0  1872  0  0
143  208  2025-06-05 20-36-20  14344  2524.12  140432  0  1872  0  0
144  208  2025-06-05 20-36-20  14345.6  2512.91  140432  0  1872  0  0
145  208  2025-06-05 20-36-20  14347.2  2501.76  140432  0  1872  0  0
146  208  2025-06-05 20-36-20  14348.8  2490.7  140432  0  1872  0  0
147  208  2025-06-05 20-36-20  14350.4  2479.71  140432  0  1872  0  0
148  208  2025-06-05 20-36-20  14352  2468.81  140432  0  1872  0  0
149  208  2025-06-05 20-36-20  14353.6  2457.99  140432  0  1872  0  0
150  208  2025-06-05 20-36-20  14355.2  2447.25  140432  0  1872  0  0
151  208  2025-06-05 20-36-20  14356.8  2436.6  140432  0  1872  0  0
152  208  2025-06-05 20-36-20  14358.4  2426.04  140432  0  1872  0  0
153  208  2025-06-05 20-36-20  14360  2415.57  140432  0  1872  0  0
154  208  2025-06-05 20-36-20  14361.6  2405.2  140432  0  1872  0  0
155  208  2025-06-05 20-36-20  14363.2  2394.92  140432  0  1872  0  0
156  208  2025-06-05 20-36-20  14364.8  2384.75  140432  0  1872  0  0
157  208  2025-06-05 20-36-20  14366.4  2374.67  140432  0  1872  0  0
158  208  2025-06-05 20-36-20  14368  2364.7  140432  0  1872  0  0
159  208  2025-06-05 20-36-20  14369.6  2354.84  140432  0  1872  0  0
160  208  2025-06-05 20-36-20  14371.2  2345.09  140432  0  1872  0  0
161  208  2025-06-05 20-36-20  14372.8  2335.45  140432  0  1872  0  0
162  208  2025-06-05 20-36-20  14374.4  2325.92  140432  0  1872  0  0
163  208  2025-06-05 20-36-20  14376  2316.52  140432  0  1872  0  0
164  208  2025-06-05 20-36-20  14377.6  2307.23  140432  0  1872  0  0
165  208  2025-06-05 20-36-20  14379.2  2298.07  140432  0  1872  0  0
166  208  2025-06-05 20-36-20  14380.8  2289.04  140432  0  1872  0  0
167  208  2025-06-05 20-36-20  14382.4  2280.14  140432  0  1872  0  0
168  208  2025-06-05 20-36-20  14384  2271.38  140432  0  1872  0  0
169  208  2025-06-05 20-36-20  14385.6  2262.75  140432  0  1872  0  0
170  208  2025-06-05 20-36-20  14387.2  2254.27  140432  0  1872  0  0
171  208  2025-06-05 20-36-20  14388.8  2245.92  140432  0  1872  0  0
172  208  2025-06-05 20-36-20  14390.4  2237.73  140432  0  1872  0  0
173  208  2025-06-05 20-36-20  14392  2229.69  140432  0  1872  0  0
174  208  2025-06-05 20-36-20  14393.6  2221.8  140432  0  1872  0  0
175  208  2025-06-05 20-36-20  14395.2  2214.08  140432  0  1872  0  0
176  208  2025-06-05 20-36-20  14396.8  2206.51  140432  0  1872  0  0
177  208  2025-06-05 20-36-20  14398.4  2199.12  140432  0  1872  0  0
178  208  2025-06-05 20-36-20  14400  2191.89  140432  0  1872  0  0
179  208  2025-06-05 20-36-20  14401.6  2184.84  140432  0  1872  0  0
180  208  2025-06-05 20-36-20  14403.2  2177.96  140432  0  1872  0  0
181  208  2025-06-05 20-36-20  14404.8  2171.27  140432  0  1872  0  0
182  208  2025-06-05 20-36-20  14406.4  2164.76  140432  0  1872  0  0
183  208  2025-06-05 20-36-20  14408  2158.44  140432  0  1872  0  0
