SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
0  224  2025-06-05 20-36-16  2452.8  2668.58  25232  0  1872  0  0
1  224  2025-06-05 20-36-16  2454.4  2662.43  25232  0  1872  0  0
2  224  2025-06-05 20-36-16  2456  2656.28  25232  0  1872  0  0
3  224  2025-06-05 20-36-16  2457.6  2650.14  25232  0  1872  0  0
4  224  2025-06-05 20-36-16  2459.2  2644.01  25232  0  1872  0  0
5  224  2025-06-05 20-36-16  2460.8  2637.89  25232  0  1872  0  0
6  224  2025-06-05 20-36-16  2462.4  2631.77  25232  0  1872  0  0
7  224  2025-06-05 20-36-16  2464  2625.67  25232  0  1872  0  0
8  224  2025-06-05 20-36-16  2465.6  2619.57  25232  0  1872  0  0
9  224  2025-06-05 20-36-16  2467.2  2613.49  25232  0  1872  0  0
10  224  2025-06-05 20-36-16  2468.8  2607.41  25232  0  1872  0  0
11  224  2025-06-05 20-36-16  2470.4  2601.35  25232  0  1872  0  0
12  224  2025-06-05 20-36-16  2472  2595.3  25232  0  1872  0  0
13  224  2025-06-05 20-36-16  2473.6  2589.25  25232  0  1872  0  0
14  224  2025-06-05 20-36-16  2475.2  2583.22  25232  0  1872  0  0
15  224  2025-06-05 20-36-16  2476.8  2577.2  25232  0  1872  0  0
16  224  2025-06-05 20-36-16  2478.4  2571.19  25232  0  1872  0  0
17  224  2025-06-05 20-36-16  2480  2565.19  25232  0  1872  0  0
18  224  2025-06-05 20-36-16  2481.6  2559.2  25232  0  1872  0  0
19  224  2025-06-05 20-36-16  2483.2  2553.23  25232  0  1872  0  0
20  224  2025-06-05 20-36-16  2484.8  2547.26  25232  0  1872  0  0
21  224  2025-06-05 20-36-16  2486.4  2541.31  25232  0  1872  0  0
22  224  2025-06-05 20-36-16  2488  2535.38  25232  0  1872  0  0
23  224  2025-06-05 20-36-16  2489.6  2529.45  25232  0  1872  0  0
24  224  2025-06-05 20-36-16  2491.2  2523.54  25232  0  1872  0  0
25  224  2025-06-05 20-36-16  2492.8  2517.65  25232  0  1872  0  0
26  224  2025-06-05 20-36-16  2494.4  2511.76  25232  0  1872  0  0
27  224  2025-06-05 20-36-16  2496  2505.9  25232  0  1872  0  0
28  224  2025-06-05 20-36-16  2497.6  2500.04  25232  0  1872  0  0
29  224  2025-06-05 20-36-16  2499.2  2494.2  25232  0  1872  0  0
30  224  2025-06-05 20-36-16  2500.8  2488.38  25232  0  1872  0  0
31  224  2025-06-05 20-36-16  2502.4  2482.57  25232  0  1872  0  0
32  224  2025-06-05 20-36-16  2504  2476.78  25232  0  1872  0  0
