SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  192  2025-06-10 20-55-49  0  16040  -14512  192  2672
1  192  2025-06-10 20-55-49  1.6  16048  -14511.9  192.086  2660.77
2  192  2025-06-10 20-55-49  3.2  16056  -14511.7  192.173  2649.89
3  192  2025-06-10 20-55-49  4.8  16064  -14511.4  192.259  2639.34
4  192  2025-06-10 20-55-49  6.4  16072.1  -14511  192.345  2629.13
5  192  2025-06-10 20-55-49  8  16080.1  -14510.6  192.432  2619.23
6  192  2025-06-10 20-55-49  9.6  16088.1  -14510  192.518  2609.65
7  192  2025-06-10 20-55-49  11.2  16096.2  -14509.4  192.604  2600.37
8  192  2025-06-10 20-55-49  12.8  16104.2  -14508.7  192.691  2591.39
9  192  2025-06-10 20-55-49  14.4  16112.2  -14507.9  192.777  2582.7
10  192  2025-06-10 20-55-49  128  16120.3  -14507.1  192.863  2574.28
11  192  2025-06-10 20-55-49  129.6  16128.3  -14506.1  192.95  2566.14
12  192  2025-06-10 20-55-49  131.2  16136.4  -14505.1  193.036  2558.26
13  192  2025-06-10 20-55-49  132.8  16144.4  -14504  193.122  2550.64
14  192  2025-06-10 20-55-49  134.4  16152.5  -14502.9  193.209  2543.28
15  192  2025-06-10 20-55-49  136  16160.5  -14501.7  193.295  2536.15
16  192  2025-06-10 20-55-49  137.6  16168.5  -14500.4  193.381  2529.27
17  192  2025-06-10 20-55-49  139.2  16176.6  -14499.1  193.468  2522.61
18  192  2025-06-10 20-55-49  140.8  16184.6  -14497.7  193.554  2516.18
19  192  2025-06-10 20-55-49  142.4  16192.6  -14496.3  193.64  2509.97
20  192  2025-06-10 20-55-49  144  16200.7  -14494.8  193.727  2503.97
21  192  2025-06-10 20-55-49  145.6  16208.7  -14493.3  193.813  2498.18
22  192  2025-06-10 20-55-49  147.2  16216.7  -14491.7  193.899  2492.59
23  192  2025-06-10 20-55-49  148.8  16224.8  -14490  193.986  2487.19
24  192  2025-06-10 20-55-49  150.4  16232.8  -14488.4  194.072  2481.99
25  192  2025-06-10 20-55-49  152  16240.8  -14486.6  194.158  2476.97
26  192  2025-06-10 20-55-49  153.6  16248.9  -14484.8  194.245  2472.13
27  192  2025-06-10 20-55-49  155.2  16256.9  -14483  194.331  2467.46
28  192  2025-06-10 20-55-49  156.8  16264.9  -14481.2  194.417  2462.97
29  192  2025-06-10 20-55-49  158.4  16273  -14479.3  194.504  2458.64
30  192  2025-06-10 20-55-49  160  16281  -14477.3  194.59  2454.47
31  192  2025-06-10 20-55-49  161.6  16289  -14475.3  194.676  2450.45
32  192  2025-06-10 20-55-49  163.2  16297  -14473.3  194.763  2446.59
33  192  2025-06-10 20-55-49  164.8  16305.1  -14471.3  194.849  2442.87
34  192  2025-06-10 20-55-49  166.4  16313.1  -14469.2  194.935  2439.3
35  192  2025-06-10 20-55-49  168  16321.1  -14467.1  195.022  2435.87
36  192  2025-06-10 20-55-49  169.6  16329.2  -14464.9  195.108  2432.57
37  192  2025-06-10 20-55-49  171.2  16337.2  -14462.8  195.194  2429.4
38  192  2025-06-10 20-55-49  172.8  16345.2  -14460.5  195.281  2426.36
39  192  2025-06-10 20-55-49  174.4  16353.2  -14458.3  195.367  2423.44
40  192  2025-06-10 20-55-49  176  16361.3  -14456.1  195.453  2420.64
41  192  2025-06-10 20-55-49  177.6  16369.3  -14453.8  195.54  2417.96
42  192  2025-06-10 20-55-49  179.2  16377.4  -14451.5  195.626  2415.39
43  192  2025-06-10 20-55-49  180.8  16385.4  -14449.1  195.712  2412.94
44  192  2025-06-10 20-55-49  182.4  16393.4  -14446.8  195.799  2410.59
45  192  2025-06-10 20-55-49  184  16401.5  -14444.4  195.885  2408.34
46  192  2025-06-10 20-55-49  185.6  16409.5  -14442  195.971  2406.19
47  192  2025-06-10 20-55-49  187.2  16417.6  -14439.6  196.058  2404.14
48  192  2025-06-10 20-55-49  188.8  16425.6  -14437.1  196.144  2402.18
49  192  2025-06-10 20-55-49  190.4  16433.7  -14434.7  196.23  2400.32
50  192  2025-06-10 20-55-49  192  16441.7  -14432.2  196.317  2398.55
51  192  2025-06-10 20-55-49  193.6  16449.8  -14429.7  196.403  2396.86
52  192  2025-06-10 20-55-49  195.2  16457.9  -14427.2  196.489  2395.25
53  192  2025-06-10 20-55-49  196.8  16465.9  -14424.7  196.576  2393.73
54  192  2025-06-10 20-55-49  198.4  16474  -14422.1  196.662  2392.28
55  192  2025-06-10 20-55-49  200  16482.1  -14419.6  196.748  2390.91
56  192  2025-06-10 20-55-49  201.6  16490.2  -14417  196.835  2389.62
57  192  2025-06-10 20-55-49  203.2  16498.3  -14414.4  196.921  2388.4
58  192  2025-06-10 20-55-49  204.8  16506.4  -14411.8  197.007  2387.24
59  192  2025-06-10 20-55-49  206.4  16514.5  -14409.2  197.094  2386.15
60  192  2025-06-10 20-55-49  208  16522.6  -14406.6  197.18  2385.13
61  192  2025-06-10 20-55-49  209.6  16530.7  -14403.9  197.266  2384.17
62  192  2025-06-10 20-55-49  211.2  16538.8  -14401.3  197.353  2383.28
63  192  2025-06-10 20-55-49  212.8  16546.9  -14398.6  197.439  2382.44
64  192  2025-06-10 20-55-49  214.4  16555  -14396  197.525  2381.66
65  192  2025-06-10 20-55-49  216  16563.2  -14393.3  197.612  2380.93
66  192  2025-06-10 20-55-49  217.6  16571.3  -14390.6  197.698  2380.26
67  192  2025-06-10 20-55-49  219.2  16579.5  -14387.9  197.784  2379.64
68  192  2025-06-10 20-55-49  220.8  16587.6  -14385.2  197.871  2379.07
69  192  2025-06-10 20-55-49  222.4  16595.8  -14382.5  197.957  2378.54
70  192  2025-06-10 20-55-49  224  16603.9  -14379.8  198.043  2378.07
71  192  2025-06-10 20-55-49  225.6  16612.1  -14377.1  198.13  2377.64
72  192  2025-06-10 20-55-49  227.2  16620.3  -14374.4  198.216  2377.25
73  192  2025-06-10 20-55-49  228.8  16628.5  -14371.6  198.302  2376.91
74  192  2025-06-10 20-55-49  230.4  16636.7  -14368.9  198.389  2376.61
75  192  2025-06-10 20-55-49  232  16644.9  -14366.2  198.475  2376.35
76  192  2025-06-10 20-55-49  233.6  16653.1  -14363.4  198.561  2376.12
77  192  2025-06-10 20-55-49  235.2  16661.3  -14360.7  198.648  2375.94
78  192  2025-06-10 20-55-49  236.8  16669.5  -14357.9  198.734  2375.78
79  192  2025-06-10 20-55-49  238.4  16677.8  -14355.2  198.82  2375.67
80  192  2025-06-10 20-55-49  240  16686  -14352.4  198.907  2375.58
81  192  2025-06-10 20-55-49  241.6  16694.2  -14349.6  198.993  2375.53
82  192  2025-06-10 20-55-49  243.2  16702.5  -14346.9  199.079  2375.51
83  192  2025-06-10 20-55-49  244.8  16710.8  -14344.1  199.166  2375.52
84  192  2025-06-10 20-55-49  246.4  16719  -14341.3  199.252  2375.56
85  192  2025-06-10 20-55-49  248  16727.3  -14338.5  199.338  2375.62
86  192  2025-06-10 20-55-49  249.6  16735.6  -14335.8  199.425  2375.71
87  192  2025-06-10 20-55-49  251.2  16743.9  -14333  199.511  2375.83
88  192  2025-06-10 20-55-49  252.8  16752.2  -14330.2  199.597  2375.97
89  192  2025-06-10 20-55-49  254.4  16760.5  -14327.4  199.684  2376.14
90  192  2025-06-10 20-55-49  256  16768.9  -14324.6  199.77  2376.33
91  192  2025-06-10 20-55-49  257.6  16777.2  -14321.9  199.856  2376.54
92  192  2025-06-10 20-55-49  259.2  16785.5  -14319.1  199.943  2376.77
93  192  2025-06-10 20-55-49  260.8  16793.9  -14316.3  200.029  2377.02
94  192  2025-06-10 20-55-49  262.4  16802.2  -14313.5  200.115  2377.29
95  192  2025-06-10 20-55-49  264  16810.6  -14310.7  200.202  2377.58
96  192  2025-06-10 20-55-49  265.6  16819  -14307.9  200.288  2377.89
97  192  2025-06-10 20-55-49  267.2  16827.4  -14305.2  200.374  2378.22
98  192  2025-06-10 20-55-49  268.8  16835.8  -14302.4  200.461  2378.56
99  192  2025-06-10 20-55-49  270.4  16844.2  -14299.6  200.547  2378.92
100  192  2025-06-10 20-55-49  1392  16852.6  -14296.8  200.633  2379.29
101  192  2025-06-10 20-55-49  1393.6  16861  -14294  200.72  2379.68
102  192  2025-06-10 20-55-49  1395.2  16869.5  -14291.2  200.806  2380.08
103  192  2025-06-10 20-55-49  1396.8  16877.9  -14288.5  200.892  2380.5
104  192  2025-06-10 20-55-49  1398.4  16886.3  -14285.7  200.979  2380.93
105  192  2025-06-10 20-55-49  1400  16894.8  -14282.9  201.065  2381.37
106  192  2025-06-10 20-55-49  1401.6  16903.3  -14280.1  201.151  2381.82
107  192  2025-06-10 20-55-49  1403.2  16911.8  -14277.4  201.238  2382.28
108  192  2025-06-10 20-55-49  1404.8  16920.3  -14274.6  201.324  2382.75
109  192  2025-06-10 20-55-49  1406.4  16928.8  -14271.8  201.41  2383.24
110  192  2025-06-10 20-55-49  1408  16937.3  -14269.1  201.497  2383.73
111  192  2025-06-10 20-55-49  1409.6  16945.8  -14266.3  201.583  2384.23
112  192  2025-06-10 20-55-49  1411.2  16954.3  -14263.5  201.669  2384.74
113  192  2025-06-10 20-55-49  1412.8  16962.9  -14260.8  201.756  2385.26
114  192  2025-06-10 20-55-49  1414.4  16971.4  -14258  201.842  2385.78
115  192  2025-06-10 20-55-49  1416  16980  -14255.2  201.928  2386.32
116  192  2025-06-10 20-55-49  1417.6  16988.5  -14252.5  202.015  2386.86
117  192  2025-06-10 20-55-49  1419.2  16997.1  -14249.7  202.101  2387.4
118  192  2025-06-10 20-55-49  1420.8  17005.7  -14247  202.187  2387.96
119  192  2025-06-10 20-55-49  1422.4  17014.3  -14244.2  202.274  2388.52
120  192  2025-06-10 20-55-49  1424  17022.9  -14241.5  202.36  2389.08
121  192  2025-06-10 20-55-49  1425.6  17031.5  -14238.8  202.446  2389.65
122  192  2025-06-10 20-55-49  1427.2  17040.2  -14236  202.533  2390.22
123  192  2025-06-10 20-55-49  1428.8  17048.8  -14233.3  202.619  2390.8
124  192  2025-06-10 20-55-49  1430.4  17057.5  -14230.5  202.705  2391.38
125  192  2025-06-10 20-55-49  1432  17066.1  -14227.8  202.792  2391.97
126  192  2025-06-10 20-55-49  1433.6  17074.8  -14225.1  202.878  2392.56
127  192  2025-06-10 20-55-49  1435.2  17083.5  -14222.4  202.964  2393.15
128  192  2025-06-10 20-55-49  1436.8  17092.1  -14219.6  203.051  2393.74
129  192  2025-06-10 20-55-49  1438.4  17100.8  -14216.9  203.137  2394.34
130  192  2025-06-10 20-55-49  1440  17109.6  -14214.2  203.223  2394.94
131  192  2025-06-10 20-55-49  1441.6  17118.3  -14211.5  203.31  2395.54
132  192  2025-06-10 20-55-49  1443.2  17127  -14208.8  203.396  2396.15
133  192  2025-06-10 20-55-49  1444.8  17135.7  -14206.1  203.482  2396.75
134  192  2025-06-10 20-55-49  1446.4  17144.5  -14203.4  203.569  2397.36
135  192  2025-06-10 20-55-49  1448  17153.3  -14200.7  203.655  2397.97
136  192  2025-06-10 20-55-49  1449.6  17162  -14198  203.741  2398.58
137  192  2025-06-10 20-55-49  1451.2  17170.8  -14195.3  203.828  2399.19
138  192  2025-06-10 20-55-49  1452.8  17179.6  -14192.6  203.914  2399.8
139  192  2025-06-10 20-55-49  1454.4  17188.4  -14189.9  204  2400.41
140  192  2025-06-10 20-55-49  1456  17197.2  -14187.2  204.087  2401.03
141  192  2025-06-10 20-55-49  1457.6  17206  -14184.6  204.173  2401.64
142  192  2025-06-10 20-55-49  1459.2  17214.8  -14181.9  204.259  2402.25
143  192  2025-06-10 20-55-49  1460.8  17223.7  -14179.2  204.346  2402.86
144  192  2025-06-10 20-55-49  1462.4  17232.5  -14176.5  204.432  2403.48
145  192  2025-06-10 20-55-49  1464  17241.4  -14173.9  204.518  2404.09
146  192  2025-06-10 20-55-49  1465.6  17250.3  -14171.2  204.605  2404.7
147  192  2025-06-10 20-55-49  1467.2  17259.1  -14168.6  204.691  2405.31
148  192  2025-06-10 20-55-49  1468.8  17268  -14165.9  204.777  2405.92
149  192  2025-06-10 20-55-49  1470.4  17276.9  -14163.2  204.864  2406.53
150  192  2025-06-10 20-55-49  1472  17285.8  -14160.6  204.95  2407.13
151  192  2025-06-10 20-55-49  1473.6  17294.8  -14158  205.036  2407.74
152  192  2025-06-10 20-55-49  1475.2  17303.7  -14155.3  205.123  2408.35
153  192  2025-06-10 20-55-49  1476.8  17312.6  -14152.7  205.209  2408.95
154  192  2025-06-10 20-55-49  1478.4  17321.6  -14150  205.295  2409.55
155  192  2025-06-10 20-55-49  1480  17330.5  -14147.4  205.382  2410.15
156  192  2025-06-10 20-55-49  1481.6  17339.5  -14144.8  205.468  2410.75
157  192  2025-06-10 20-55-49  1483.2  17348.5  -14142.2  205.554  2411.35
158  192  2025-06-10 20-55-49  1484.8  17357.5  -14139.5  205.641  2411.94
159  192  2025-06-10 20-55-49  1486.4  17366.5  -14136.9  205.727  2412.54
160  192  2025-06-10 20-55-49  1488  17375.5  -14134.3  205.813  2413.13
161  192  2025-06-10 20-55-49  1489.6  17384.5  -14131.7  205.9  2413.72
162  192  2025-06-10 20-55-49  1491.2  17393.5  -14129.1  205.986  2414.3
163  192  2025-06-10 20-55-49  1492.8  17402.6  -14126.5  206.072  2414.89
