Step,id,x,y,Vel,Yaw
18,4,237.21,128.822,7.78699,99.903
18,5,237.21,-128.822,7.78699,80.097
18,6,312.284,7.52126e-16,7.78699,90
18,7,515.2,0,8,90
19,1,13.0752,8.006e-16,7.91672,90
19,2,87.7426,128.648,7.32225,99.2635
19,3,87.7426,-128.648,7.32225,80.7365
19,4,237.989,128.679,7.91672,100.392
19,5,237.989,-128.679,7.91672,79.608
19,6,313.075,8.006e-16,7.91672,90
19,7,516,0,8,90
20,1,13.8796,8.49855e-16,8.04413,90
20,2,88.47,128.527,7.37441,99.4465
20,3,88.47,-128.527,7.37441,80.5535
20,4,238.779,128.527,8.04413,100.875
20,5,238.779,-128.527,8.04413,79.1252
20,6,313.88,8.49855e-16,8.04413,90
20,7,516.8,0,8,90
21,1,14.6966,8.99875e-16,8.16924,90
21,2,89.2022,128.403,7.42657,99.6305
21,3,89.2022,-128.403,7.42657,80.3695
21,4,239.58,128.366,8.16924,101.351
21,5,239.58,-128.366,8.16924,78.6487
21,6,314.697,8.99875e-16,8.16924,90
21,7,517.6,0,8,90
22,1,15.5258,9.50648e-16,8.2921,90
22,2,89.9391,128.275,7.47873,99.8156
22,3,89.9391,-128.275,7.47873,80.1844
22,4,240.392,128.196,8.2921,101.821
22,5,240.392,-128.196,8.2921,78.1785
22,6,315.526,9.50648e-16,8.2921,90
22,7,518.4,0,8,90
23,1,16.367,1.00216e-15,8.41274,90
23,2,90.6808,128.144,7.53089,100.002
23,3,90.6808,-128.144,7.53089,79.9984
23,4,241.214,128.017,8.41274,102.285
23,5,241.214,-128.017,8.41274,77.7146
23,6,316.367,1.00216e-15,8.41274,90
23,7,519.2,0,8,90
24,1,17.2202,1.0544e-15,8.53122,90
24,2,91.4271,128.01,7.58305,100.189
24,3,91.4271,-128.01,7.58305,79.8114
24,4,242.046,127.829,8.53122,102.743
24,5,242.046,-127.829,8.53122,77.2569
24,6,317.22,1.0544e-15,8.53122,90
24,7,520,0,8,90
25,1,18.0849,1.10735e-15,8.64757,90
25,2,92.1782,127.873,7.63521,100.377
25,3,92.1782,-127.873,7.63521,79.6234
25,4,242.888,127.632,8.64757,103.195
25,5,242.888,-127.632,8.64757,76.8053
25,6,318.085,1.10735e-15,8.64757,90
25,7,520.8,0,8,90
26,1,18.9611,1.16099e-15,8.76183,90
26,2,92.9339,127.732,7.68737,100.566
26,3,92.9339,-127.732,7.68737,79.4343
26,4,243.739,127.425,8.76183,103.64
26,5,243.739,-127.425,8.76183,76.36
26,6,318.961,1.16099e-15,8.76183,90
26,7,521.6,0,8,90
27,1,19.8485,1.21533e-15,8.87403,90
27,2,93.6942,127.587,7.73953,100.756
27,3,93.6942,-127.587,7.73953,79.2443
27,4,244.6,127.209,8.87403,104.079
27,5,244.6,-127.209,8.87403,75.9208
27,6,319.849,1.21533e-15,8.87403,90
27,7,522.4,0,8,90
28,1,20.7469,1.27034e-15,8.98421,90
28,2,94.4592,127.439,7.79169,100.947
28,3,94.4592,-127.439,7.79169,79.0533
28,4,245.47,126.984,8.98421,104.512
28,5,245.47,-126.984,8.98421,75.4878
28,6,320.747,1.27034e-15,8.98421,90
28,7,523.2,0,8,90
29,1,21.6562,1.32601e-15,9.09241,90
29,2,95.2288,127.288,7.84385,101.139
29,3,95.2288,-127.288,7.84385,78.8612
29,4,246.348,126.75,9.09241,104.939
29,5,246.348,-126.75,9.09241,75.0609
29,6,321.656,1.32601e-15,9.09241,90
29,7,524,0,8,90
30,1,22.576,1.38234e-15,9.19867,90
30,2,96.003,127.133,7.89601,101.332
30,3,96.003,-127.133,7.89601,78.6682
30,4,247.235,126.506,9.19867,105.36
30,5,247.235,-126.506,9.19867,74.6401
30,6,322.576,1.38234e-15,9.19867,90
30,7,524.8,0,8,90
31,1,23.5063,1.4393e-15,9.30301,90
31,2,96.7818,126.974,7.94817,101.526
31,3,96.7818,-126.974,7.94817,78.4742
31,4,248.13,126.253,9.30301,105.775
31,5,248.13,-126.253,9.30301,74.2254
31,6,323.506,1.4393e-15,9.30301,90
31,7,525.6,0,8,90
32,1,24.4469,1.49689e-15,9.40548,90
